dormitorios,banos,distrito,precio,area,latitud,longitud,fecha_publicacion,antiguedad,direccion,precision,type,precioxm2,dorm_ban
3.0,3.0,barranco,5600.0,130.0,-12.1373442,-77.02467270000001,2,8.0,"Jirón Las Mimosas 287, Barranco 15063, Peru",ROOFTOP,bar,43.07692307692308,"3.0,3.0"
1.0,1.0,barranco,2368.0,41.0,-12.1391916,-77.0241223,10,2.0,"Av. el Sol Oeste 277, Barranco 15063, Peru",ROOFTOP,premise,57.75609756097561,"1.0,1.0"
1.0,2.0,barranco,5264.0,80.0,-12.138500525722986,-77.02480296042711,65,2.0,"VX6G+H3P, Barranco 15063, Peru",ROOFTOP,establishment,65.8,"1.0,2.0"
1.0,1.0,barranco,2782.0,72.0,-12.1389848,-77.024767,71,15.0,"Av. el Sol 335, Lima 15063, Peru",ROOFTOP,street_address,38.638888888888886,"1.0,1.0"
2.0,2.0,barranco,3750.0,140.0,-12.1179609,-77.0268334,73,12.0,"C. Alfonso Ugarte 233, Miraflores 15074, Peru",ROOFTOP,street_address,26.785714285714285,"2.0,2.0"
2.0,2.0,barranco,3560.0,104.0,-12.1448134,-77.0204961,115,35.0,"San Roque 203, Barranco 15063, Peru",ROOFTOP,establishment,34.23076923076923,"2.0,2.0"
3.0,3.0,barranco,13300.0,283.0,-12.147244717416484,-77.023445641803,116,15.0,"Jr.Batalla De Junin 300, Lima 15063, Peru",ROOFTOP,street_address,46.996466431095406,"3.0,3.0"
4.0,4.0,barranco,11400.0,326.0,-12.147589056617578,-77.02333042767793,117,9.0,"Jr.Batalla De Junin 240, Lima 15063, Peru",ROOFTOP,street_address,34.969325153374236,"4.0,4.0"
3.0,1.0,barranco,2600.0,63.0,-12.1386437,-77.0148415,121,0.0,"Jr Progreso 450, Barranco 15049, Peru",ROOFTOP,street_address,41.26984126984127,"3.0,1.0"
2.0,2.0,barranco,2600.0,55.0,-12.1386072,-77.01763059999999,23,3.0,"Av. República de Panamá 330, Barranco 15063, Peru",ROOFTOP,street_address,47.27272727272727,"2.0,2.0"
2.0,2.0,barranco,3750.0,65.0,-12.139593010826191,-77.02289276501234,2,1.0,"Av. el Sol Oeste 145, Barranco 15063, Peru",ROOFTOP,street_address,57.69230769230769,"2.0,2.0"
3.0,2.0,barranco,3264.0,118.0,-12.15281,-77.023428,11,20.0,"Pje. Pedro Solari 115, Lima 15063, Peru",ROOFTOP,premise,27.661016949152543,"3.0,2.0"
2.0,1.0,barranco,2546.0,54.0,-11.9480542,-77.0791953,84,8.0,"Confraternidad 1, Los Olivos 15307, Peru",ROOFTOP,establishment,47.148148148148145,"2.0,1.0"
3.0,2.0,barranco,3300.0,82.0,-12.1395849,-77.02146549999999,140,2.0,"Av. el Sol Este 170, Barranco 15063, Peru",ROOFTOP,street_address,40.24390243902439,"3.0,2.0"
3.0,3.0,barranco,15086.0,330.0,-12.1386108,-77.0261593,144,11.0,"Mal. Paúl Harris 280, Barranco 15063, Peru",ROOFTOP,street_address,45.71515151515152,"3.0,3.0"
2.0,2.0,barranco,5300.0,100.0,-12.1514282,-77.0205593,145,0.0,"Calle 2 de Mayo 114, Barranco 15063, Peru",ROOFTOP,premise,53.0,"2.0,2.0"
3.0,2.0,barranco,4875.0,105.0,-12.1509575,-77.0202089,143,5.0,"Av. Almte. Miguel Grau 11, Lima 15063, Peru",ROOFTOP,street_address,46.42857142857143,"3.0,2.0"
2.0,2.0,barranco,6475.0,88.0,-12.1495139,-77.0203316,163,8.0,"Av. Francisco Bolognesi 241, Barranco 15063, Peru",ROOFTOP,street_address,73.57954545454545,"2.0,2.0"
2.0,1.0,barranco,2618.0,89.0,-12.1358329,-77.0179352,172,15.0,"Av. P.º de la Republica 348. 1601, Barranco 15063, Peru",ROOFTOP,establishment,29.415730337078653,"2.0,1.0"
1.0,1.0,barranco,2400.0,40.0,-12.1519154,-77.0194487,166,2.0,"Jirón Tejadita 395, Barranco 15063, Peru",ROOFTOP,establishment,60.0,"1.0,1.0"
1.0,1.0,barranco,2090.0,42.0,-12.1401007,-77.022128,7,0.0,"Av. Almte. Miguel Grau 1130, Lima 15063, Peru",ROOFTOP,street_address,49.76190476190476,"1.0,1.0"
3.0,3.0,barranco,14174.0,328.0,-12.1366601,-77.0249748,177,13.0,"Mal. Paúl Harris 382, Barranco 15063, Peru",ROOFTOP,street_address,43.21341463414634,"3.0,3.0"
1.0,1.0,barranco,2600.0,42.0,-12.138415196356606,-77.02436079385086,51,3.0,"VX6G+J5C, Barranco 15063, Peru",ROOFTOP,establishment,61.904761904761905,"1.0,1.0"
1.0,1.0,barranco,2400.0,50.0,-12.133611206697976,-77.01923241021439,39,6.0,"Felipe Sassone 200, Barranco 15047, Peru",ROOFTOP,street_address,48.0,"1.0,1.0"
1.0,1.0,barranco,3187.0,59.6,-12.1468274,-77.0224084,10,7.0,"C. Coronel Alfonso Ugarte 450, Lima 15063, Peru",ROOFTOP,street_address,53.4731543624161,"1.0,1.0"
1.0,1.0,barranco,3270.0,70.0,-12.1430909,-77.0236097,44,8.0,"Jirón Sáenz Peña 206-2, Lima 15063, Peru",ROOFTOP,street_address,46.714285714285715,"1.0,1.0"
3.0,2.0,barranco,3188.0,83.0,-12.166240907430655,-77.02784793331296,82,0.0,"Malecón Grau 675, Chorrillos 15064, Peru",ROOFTOP,establishment,38.40963855421687,"3.0,2.0"
3.0,2.0,barranco,4266.0,129.0,-12.137675641032883,-77.02127341834637,21,8.0,"Jr. Carlos Arrieta 240, Barranco 15063, Peru",ROOFTOP,street_address,33.06976744186046,"3.0,2.0"
1.0,1.0,barranco,2062.0,50.0,-12.1530339,-77.02263010000001,27,3.0,"Municipalidad Metropolitana de, Av. Pedro de Osma 307, Barranco 15063, Peru",ROOFTOP,street_address,41.24,"1.0,1.0"
1.0,2.0,barranco,3459.0,95.0,-12.1470544,-77.02304320000002,1,8.0,"C. Coronel Alfonso Ugarte 260, Lima 15063, Peru",ROOFTOP,street_address,36.410526315789475,"1.0,2.0"
1.0,1.0,barranco,2140.0,53.0,-12.1530339,-77.02263010000001,62,6.0,"Municipalidad Metropolitana de, Av. Pedro de Osma 307, Barranco 15063, Peru",ROOFTOP,street_address,40.37735849056604,"1.0,1.0"
